Occupation (O*NET-SOC Title),Task,Friction Score,Flag,Main Reason
Computer Network Architects,Develop and implement solutions for network problems.,0.0,Xanh,Không rõ
Computer Network Architects,Estimate time and materials needed to complete projects.,0.0,Xanh,Không rõ
Computer Network Architects,"Maintain networks by performing activities such as file addition, deletion, or backup.",0.0,Xanh,Không rõ
Computer Network Architects,"Monitor and analyze network performance and reports on data input or output to detect problems, identify inefficient use of computer resources, or perform capacity planning.",0.0,Xanh,Không rõ
Computer Network Support Specialists,"Analyze network data to determine network usage, disk space availability, or server function.",0.0,Xanh,Không rõ
Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Document network support activities.,0.0,Xanh,Không rõ
Computer Network Support Specialists,"Evaluate local area network (LAN) or wide area network (WAN) performance data to ensure sufficient availability or speed, to identify network problems, or for disaster recovery purposes.",0.0,Xanh,Không rõ
Computer Network Support Specialists,"Test computer software or hardware, using standard diagnostic testing equipment and procedures.",0.0,Xanh,Không rõ
Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Analyze and report computer network security breaches or attempted breaches.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Back up network data.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Create or update technical documentation for network installations or changes to existing installations.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Document help desk requests and resolutions.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Maintain logs of network activity.,0.0,Xanh,Không rõ
Computer Network Support Specialists,"Monitor industry Web sites or publications for information about patches, releases, viruses, or potential problem identification.",0.0,Xanh,Không rõ
Computer Network Support Specialists,Provide telephone support related to networking or connectivity issues.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Run monthly network reports.,0.0,Xanh,Không rõ
Computer Network Support Specialists,Train users in procedures related to network applications software or related systems.,0.0,Xanh,Không rõ
Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,0.0,Xanh,Không rõ
Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",0.0,Xanh,Không rõ
Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",0.0,Xanh,Không rõ
Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",0.0,Xanh,Không rõ
Computer Programmers,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",0.0,Xanh,Không rõ
Computer Programmers,Write or contribute to instructions or manuals to guide end users.,0.0,Xanh,Không rõ
Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",0.0,Xanh,Không rõ
Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",0.0,Xanh,Không rõ
Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,0.0,Xanh,Không rõ
Computer Programmers,"Assign, coordinate, and review work and activities of programming personnel.",0.0,Xanh,Không rõ
Computer Programmers,Develop Web sites.,0.0,Xanh,Không rõ
Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",0.0,Xanh,Không rõ
Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",0.0,Xanh,Không rõ
Computer Systems Analysts,Expand or modify system to serve new purposes or improve work flow.,0.0,Xanh,Không rõ
Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",0.0,Xanh,Không rõ
Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",0.0,Xanh,Không rõ
Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",0.0,Xanh,Không rõ
Computer Systems Analysts,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",0.0,Xanh,Không rõ
Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,0.0,Xanh,Không rõ
Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,Provide technical guidance or support for the development or troubleshooting of systems.,0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Research, test, or verify proper functioning of software patches and fixes.",0.0,Xanh,Không rõ
Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",0.0,Xanh,Không rõ
Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,0.0,Xanh,Không rõ
Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,0.0,Xanh,Không rõ
Computer User Support Specialists,Oversee the daily performance of computer systems.,0.0,Xanh,Không rõ
Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",0.0,Xanh,Không rõ
Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",0.0,Xanh,Không rõ
Computer User Support Specialists,"Develop training materials and procedures, or train users in the proper use of hardware or software.",0.0,Xanh,Không rõ
Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",0.0,Xanh,Không rõ
Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,0.0,Xanh,Không rõ
Computer and Information Research Scientists,Assign or schedule tasks to meet work priorities and goals.,0.0,Xanh,Không rõ
Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,0.0,Xanh,Không rõ
Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",0.0,Xanh,Không rõ
Computer and Information Research Scientists,Design computers and the software that runs them.,0.0,Xanh,Không rõ
Computer and Information Research Scientists,"Approve, prepare, monitor, and adjust operational budgets.",0.0,Xanh,Không rõ
Computer and Information Systems Managers,"Manage backup, security and user help systems.",0.0,Xanh,Không rõ
Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",0.0,Xanh,Không rõ
Computer and Information Systems Managers,Stay abreast of advances in technology.,0.0,Xanh,Không rõ
Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",0.0,Xanh,Không rõ
Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,0.0,Xanh,Không rõ
Computer and Information Systems Managers,Control operational budget and expenditures.,0.0,Xanh,Không rõ
Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,0.0,Xanh,Không rõ
Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,0.0,Xanh,Không rõ
Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,0.0,Xanh,Không rõ
Data Warehousing Specialists,Provide or coordinate troubleshooting support for data warehouses.,0.0,Xanh,Không rõ
Data Warehousing Specialists,Prepare functional or technical documentation for data warehouses.,0.0,Xanh,Không rõ
Data Warehousing Specialists,"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Verify the structure, accuracy, or quality of warehouse data.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Map data between source systems, data warehouses, and data marts.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Implement business rules via stored procedures, middleware, or other technologies.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Develop and implement data extraction procedures from other systems, such as administration, billing, or claims.",0.0,Xanh,Không rõ
Data Warehousing Specialists,Design and implement warehouse database structures.,0.0,Xanh,Không rõ
Data Warehousing Specialists,"Create plans, test files, and scripts for data warehouse testing, ranging from unit to integration testing.",0.0,Xanh,Không rõ
Data Warehousing Specialists,"Develop data warehouse process models, including sourcing, loading, transformation, and extraction.",0.0,Xanh,Không rõ
Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,0.0,Xanh,Không rõ
Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",0.0,Xanh,Không rõ
Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",0.0,Xanh,Không rõ
Database Administrators,Specify users and user access levels for each segment of database.,0.0,Xanh,Không rõ
Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",0.0,Xanh,Không rõ
Database Administrators,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",0.0,Xanh,Không rõ
Database Architects,Identify and correct deviations from database development standards.,0.0,Xanh,Không rõ
Database Architects,"Develop or maintain archived procedures, procedural codes, or queries for applications.",0.0,Xanh,Không rõ
Database Architects,"Develop data models for applications, metadata tables, views or related database structures.",0.0,Xanh,Không rõ
Database Architects,"Demonstrate database technical functionality, such as performance, security and reliability.",0.0,Xanh,Không rõ
Geographic Information Systems Technologists and Technicians,"Produce data layers, maps, tables, or reports, using spatial analysis procedures or Geographic Information Systems (GIS) technology, equipment, or systems.",0.0,Xanh,Không rõ
