Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",051bafa4-57c0-4b01-a4ad-828c78afadfb,2025-02-15,Expert,3,2,4,1,3,True,True,True,False,False,False,1,2,3,3,3,False,False,False,False,False,False,False,,,Male,White,30-60K,54,"Some College, No Degree",More than 10 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,14883,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Never,Monthly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",216194e7-e39d-42f9-bf89-af0537983c5f,2025-02-15,Expert,2,4,4,1,4,False,False,False,False,False,False,4,1,1,2,4,False,False,False,False,False,False,False,,,Male,Black,30-60K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,37862,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Monthly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025-02-15,Expert,2,3,4,4,3,False,False,False,False,False,False,4,4,1,2,2,False,False,False,False,False,False,False,,,Male,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,92392,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025-02-15,Expert,5,1,1,1,1,True,True,False,False,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,,Male,White,86K-165K,48,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,60046,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Monthly,Monthly,Weekly,Monthly,Never,Never,Never,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",78302b81-4938-4240-8768-e5d1a946c0bc,2025-02-20,Novice,5,5,5,5,5,True,False,True,False,False,True,5,5,5,5,3,False,False,False,False,False,False,False,,,Female,White,86K-165K,44,"Doctorate (e.g., PhD)",More than 10 years,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",87db9938-ea76-428e-994d-21f371cad1ce,2025-02-15,Expert,2,1,2,1,3,False,False,False,False,False,False,1,1,2,1,3,False,False,False,False,False,False,False,,,Male,White,30-60K,36,Master’s Degree,6-10 years,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Daily,Weekly,Weekly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",af21c46a-23b2-409e-8aa7-a52ae72f4c7a,2025-02-15,Expert,1,3,4,4,3,False,False,False,False,False,False,3,4,4,4,3,False,False,False,False,False,False,False,,,Male,Asian American and Pacific Islander,60-86K,25,Bachelor’s Degree,1-2 year,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Weekly,Daily,Monthly,Weekly,Never,Never,Monthly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",d0439194-692f-47e7-8339-54a9cbfd9d91,2025-02-15,Expert,5,4,5,1,5,True,False,False,False,False,False,1,4,5,5,3,False,False,False,False,False,False,False,,,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025-02-15,Expert,2,4,4,5,4,False,False,False,False,False,False,1,3,4,2,3,False,False,False,False,False,False,False,,,Male,White,86K-165K,34,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",fb4e42d6-6487-4bcf-98af-99a49f70567a,2025-02-15,Expert,3,2,3,3,3,False,False,True,False,True,True,3,3,3,3,3,False,False,False,False,False,False,False,,,Male,White,165K-209K,49,Master’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Weekly,Daily,Weekly,Daily,Weekly,Daily,Prolific
