Task ID,O*NET-SOC Code,Occupation (O*NET-SOC Title),Task,Occupation Mean Annual Wage,Occupation Employment,Frequency,Importance,Expert_Automation Capacity Rating,Expert_N_Raters,Worker_N_Respondents,Time Cost Score,Time Share Proxy,Market Scale,Frequency Intensity,Importance Intensity,Task Exposure,Automation Potential,Economic Potential Raw,ROI Index,ROI Data Complete,Data Confidence,Strategy Zone
1282,15-1232.00,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,64990.000000,697210.000000,7.000000,3.790000,4.500000,2.000000,10.000000,2.600000,0.460000,0.818182,1.000000,0.697500,0.654375,0.875000,0.468473,1.000000,True,Trung bình,Tự động hóa ngay
1285,15-1232.00,Computer User Support Specialists,Oversee the daily performance of computer systems.,64990.000000,697210.000000,5.000000,3.990000,5.000000,2.000000,8.000000,2.250000,0.381250,0.818182,0.666667,0.747500,0.544167,1.000000,0.445227,0.949402,True,Trung bình,Tự động hóa ngay
1287,15-1232.00,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",64990.000000,697210.000000,5.000000,3.470000,4.666667,3.000000,6.000000,2.500000,0.437500,0.818182,0.666667,0.617500,0.539792,0.916667,0.404844,0.861502,True,Trung bình,Tự động hóa ngay
966,11-3021.00,Computer and Information Systems Managers,"Manage backup, security and user help systems.",187990.000000,645970.000000,5.000000,4.190000,3.500000,2.000000,10.000000,2.900000,0.527500,1.000000,0.666667,0.797500,0.629792,0.625000,0.393620,0.837071,True,Trung bình,Tự động hóa ngay
1283,15-1232.00,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,64990.000000,697210.000000,5.000000,3.570000,4.666667,3.000000,7.000000,2.285714,0.389286,0.818182,0.666667,0.642500,0.521935,0.916667,0.391451,0.832350,True,Trung bình,Tự động hóa ngay
15206,15-1244.00,Network and Computer Systems Administrators,"Configure, monitor, and maintain email applications or virus protection software.",101190.000000,318570.000000,5.000000,3.970000,5.000000,2.000000,8.000000,2.000000,0.325000,0.727273,0.666667,0.742500,0.514792,1.000000,0.374394,0.795223,True,Trung bình,Tự động hóa ngay
3466,15-1211.00,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",111960.000000,497800.000000,6.000000,3.710000,4.000000,3.000000,10.000000,2.000000,0.325000,0.909091,0.833333,0.677500,0.540208,0.750000,0.368324,0.782011,True,Cao,Tự động hóa ngay
14648,15-1253.00,Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,110260.000000,199800.000000,5.000000,4.300000,5.000000,2.000000,5.000000,3.200000,0.595000,0.545455,0.666667,0.825000,0.670417,1.000000,0.365682,0.776260,True,Trung bình,Tự động hóa ngay
3478,15-1211.00,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",111960.000000,497800.000000,3.000000,3.600000,4.500000,2.000000,9.000000,2.444444,0.425000,0.909091,0.333333,0.650000,0.458333,0.875000,0.364583,0.773869,True,Trung bình,Tự động hóa ngay
14644,15-1253.00,Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,110260.000000,199800.000000,5.000000,4.150000,5.000000,2.000000,4.000000,3.000000,0.550000,0.545455,0.666667,0.787500,0.638542,1.000000,0.348295,0.738416,True,Trung bình,Tự động hóa ngay
