Nhom_Phan_Tich,Gia_Tri,Avg_Friction_Score,Pct_Canh_Bao_Do,N_Worker_Responses
AI Job Importance Attitude,Somewhat disagree,42.49876651982379,27.3,227
AI Job Importance Attitude,Neither agree nor disagree,42.047005988023955,24.0,167
AI Job Importance Attitude,Strongly disagree,41.629999999999995,26.7,146
AI Job Importance Attitude,Somewhat agree,40.906581469648565,20.1,313
AI Job Importance Attitude,Strongly agree,40.86510067114094,22.8,149
AI Suffering Attitude,Strongly disagree,41.831924686192465,24.3,239
AI Suffering Attitude,Somewhat disagree,41.63695014662757,23.8,341
AI Suffering Attitude,Neither agree nor disagree,41.56813253012049,24.1,166
AI Suffering Attitude,Somewhat agree,41.475829145728646,25.1,199
AI Suffering Attitude,Strongly agree,40.16982456140351,15.8,57
AI Tedious Work Attitude,Strongly agree,41.90618348623853,25.0,545
AI Tedious Work Attitude,Somewhat agree,41.47993650793651,22.9,315
AI Tedious Work Attitude,Neither agree nor disagree,40.9425,30.0,40
AI Tedious Work Attitude,Somewhat disagree,40.22295454545454,18.2,44
AI Tedious Work Attitude,Strongly disagree,40.123275862068965,17.2,58
Experience,More than 10 years,42.29430555555555,27.4,288
Experience,6-10 years,41.837521008403364,25.2,238
Experience,3-5 years,41.416837060702875,21.7,313
Experience,1-2 year,40.482465753424655,21.2,146
Experience,Less than 1 year,36.92411764705883,0.0,17
